sample	argon_laser_power_perc	pinhole_airy	pinhole_um	excitation_wavelength_1	intensity_perc_1	range_low_nm_1	range_high_nm_1	gain_1	excitation_wavelength_2	intensity_perc_2	range_low_nm_2	range_high_nm_2	gain_2	excitation_wavelength_3	intensity_perc_3	range_low_nm_3	range_high_nm_3	gain_3
2	22	1.97	109.9	488	26	492	517	108	514	26	518	540	109	561	26	564	616	108
3	22	1.8	100.3	488	26	492	517	108	514	26	518	542	109	561	26	564	616	108
4	22	1.8	100.3	488	26	492	514	108	514	26	518	542	109	561	23	564	616	108
5	22	1.8	100.3	488	26	492	514	108	514	26	518	542	109	561	23	564	616	108
6	22	1.79	99.9	488	20	492	514	108	514	26	518	542	109	561	21	564	616	108
7	22	1.79	99.9	488	25	492	514	108	514	28.9	518	542	109	561	21	564	616	108
8	22	1.79	99.9	488	25	492	514	108	514	28.9	518	542	109	561	21	564	616	108
9	22	1.79	99.9	488	25	492	514	108	514	28.9	518	542	109	561	21	564	616	108
12	22	1.83	102.2	488	24	492	517	108	514	30	518	540	109	561	25	564	616	108
13	22	1.83	102.2	488	24	492	517	108	514	27.99	518	540	109	561	25	564	616	108
