sample	leaf	side	label	DII_mean	DII_median	DII_min	DII_max	mDII_mean	mDII_median	mDII_min	mDII_max	mean_ratio	median_ratio	min_ratio	max_ratio	size	solidity
7	left	ab	1	0.196200825967	0.186298034922	0.0361448589966	0.428671271651	0.39523118014	0.375047402351	0.0875995449374	0.789533560865	0.496420413736	0.496731969756	0.412614689065	0.542942431962	79.0118468513	0.820921985816
7	left	ab	2	0.296183648359	0.255040827499	0.103367540682	0.743840930005	0.300286060575	0.259764884338	0.0993553280243	0.6803185438	0.986338319508	0.981814105279	1.04038246099	1.09337153424	30.4613707623	0.771058315335
7	left	ab	3	0.303311784235	0.282571724773	0.0844506051323	0.690805949982	0.360240577367	0.326128175958	0.0868411073189	0.787637466818	0.841970070257	0.866443765378	0.972472688794	0.877060804094	108.53463196	0.871232876712
7	left	ab	4	0.0211370612482	0.0192547379702	0.000337802420529	0.0655336695826	0.33424160216	0.317785362154	0.178232840349	0.632157755025	0.0632388700617	0.0605903866674	0.00189528719773	0.103666638686	73.2096809918	0.81327014218
7	left	ab	5	0.193385911755	0.187480343394	0.130729536745	0.298279537327	0.119901427497	0.117178612059	0.0500568828214	0.212741751991	1.61287413997	1.59995361013	2.61161960906	1.40207333321	79.609128631	0.640356897735
7	left	ab	6	0.197414688723	0.194236391804	0.141201411781	0.308413609943	0.125227278954	0.122298065984	0.0527114144862	0.211983314372	1.57645115643	1.5882212874	2.67876347386	1.45489568769	44.8814594425	0.6726342711
7	left	ab	7	0.19740916189	0.193222984543	0.107083367308	0.316520868036	0.119425044012	0.114144861585	0.0436101630641	0.216154721274	1.65299635033	1.69278740943	2.45546817035	1.46432548949	51.5368849872	0.744759556104
7	left	ab	8	0.197034736741	0.19153397244	0.0185791331291	0.392188610234	0.398413263588	0.355707243079	0.0784982935154	0.905953735305	0.494548637681	0.538459579237	0.236682000297	0.432901366759	167.665528146	0.708108108108
7	left	ab	9	0.318164778453	0.271930948526	0.081072580927	0.779985789002	0.302643475422	0.271520667425	0.0781190747061	0.646947288586	1.05128576788	1.00151104925	1.03780774711	1.20564040187	31.3146304475	0.884337349398
7	left	ab	10	0.20785458235	0.19761441601	0.0290510081655	0.410429940943	0.404449246612	0.374857792947	0.11149032992	0.834281380356	0.513920063126	0.527171689446	0.260569756913	0.491956251939	101.879206415	0.867102396514
7	left	ab	11	0.281749473158	0.259094456546	0.0550617945462	0.675942643479	0.404334131669	0.347743648085	0.0747061054228	0.9795221843	0.696823372281	0.745073153665	0.737045442733	0.690073848569	86.7765099868	0.865531914894
7	left	ab	12	0.152834519743	0.152686694079	0.0429009074072	0.295577117963	0.382392850692	0.358172165339	0.0766021994691	0.825938566553	0.399679333613	0.426294136884	0.560047984321	0.357868163484	97.1009521779	0.799157303371
7	left	ab	13	0.151165908482	0.144241633566	0.0165523186059	0.383743549721	0.401895690085	0.362153962837	0.067500948047	0.886613576033	0.376132196017	0.398288154674	0.245216090808	0.432819392906	64.07980236	0.88665879575
7	left	ab	14	0.16155740298	0.161807359433	0.0435765122482	0.296590525225	0.362489712595	0.333333333333	0.0447478194918	0.742131209708	0.445688242636	0.4854220783	0.973824261005	0.399647018404	99.7460572021	0.81520223152
7	left	ab	15	0.222086367592	0.209437500728	0.0543861897052	0.49792076786	0.438565036026	0.381494122108	0.152825180129	1.0	0.50639323555	0.548992733022	0.355871916259	0.49792076786	74.6602224567	0.888324873096
7	left	ab	16	0.0581986233149	0.0553995969668	0.012160887139	0.132756351268	0.376086729402	0.346605991657	0.178612059158	0.78194918468	0.154747877989	0.159834504597	0.0680854764027	0.169776187339	89.5069409795	0.850081037277
7	left	ab	17	0.0157183183715	0.0135120968212	0.0	0.0499947582383	0.314144982548	0.300341296928	0.178232840349	0.572241183163	0.0500352361003	0.0449891405523	0.0	0.0873665854701	53.4993822632	0.866022099448
7	left	ab	18	0.255584615961	0.231394658062	0.0743165325164	0.551631352724	0.324398608432	0.295980280622	0.0906332954115	0.70041714069	0.787872109553	0.781790792198	0.819969440359	0.787575461361	78.4998910402	0.840950639854
7	left	ab	19	0.262448720948	0.256898740812	0.0736409276753	0.507379235635	0.359592206416	0.336367083807	0.0807736063709	0.738718240425	0.729850970809	0.763745185482	0.911695428544	0.68683729177	111.606366827	0.855461085677
7	left	ab	20	0.374223322362	0.331384174539	0.105394355205	0.793497885823	0.33981036814	0.296549108836	0.0530906332954	0.854759196056	1.10127105424	1.11746811798	1.98517796197	0.928329159235	115.275383473	0.906103286385
7	left	ab	21	0.00282100127629	0.00202681452317	0.0	0.0104718750364	0.285406381561	0.271520667425	0.178991277967	0.459233978005	0.00988415627171	0.00746467862795	0.0	0.0228029186383	36.94614437	0.83752417795
7	left	ab	22	0.180913044326	0.173292641731	0.0300644154271	0.389823993291	0.401457304246	0.368600682594	0.178232840349	0.838452787258	0.450640808906	0.470136518771	0.168680560598	0.464932551021	112.54495248	0.847686375321
7	left	ab	23	0.106239044645	0.105394355205	0.0253351815397	0.208424093466	0.341357043361	0.315889268108	0.172165339401	0.657565415245	0.311225582455	0.333643354953	0.147156109516	0.316963284009	78.5852170087	0.874643874644
7	left	ab	24	0.119322062869	0.116372933872	0.0314156251092	0.232745867745	0.380414697782	0.348502085703	0.178232840349	0.788016685628	0.313663124913	0.333923206334	0.176261709389	0.295356522253	91.1281343814	0.883374689826
7	left	ab	25	0.100024586656	0.098976109215	0.0168901210265	0.203694859579	0.407626732844	0.383579825559	0.178232840349	0.858551384149	0.245382794103	0.258032624815	0.0947643598867	0.237254127522	143.006323243	0.860811504879
7	left	ab	26	0.127007944215	0.127351512539	0.0317534275297	0.250311593612	0.428271286753	0.387182404247	0.14713689799	0.891164201744	0.296559559662	0.32891864698	0.215808732979	0.280881562704	144.968820519	0.858080808081
7	left	ab	27	0.247477452549	0.218051462452	0.103705343102	0.567170264068	0.24754998414	0.232840348881	0.109594235874	0.456200227531	0.999707002242	0.936484863981	0.946266400557	1.24324853396	27.13365799	0.777506112469
7	left	ab	28	0.012806627326	0.0101340726159	0.0	0.0547239921257	0.273410056227	0.263557072431	0.178232840349	0.455441789913	0.0468403668203	0.0384511503425	0.0	0.120155842827	43.4309179777	0.864176570458
7	left	ab	29	0.205325028679	0.19761441601	0.0462789316125	0.396580041701	0.362049738828	0.336367083807	0.149412210846	0.718240424725	0.567118289724	0.587496296524	0.309739955995	0.552154999982	66.1276256045	0.880681818182
7	left	ab	30	0.00821614678503	0.00743165325164	0.0	0.022970564596	0.26739510016	0.255214258627	0.178612059158	0.429275692074	0.0307266168308	0.0291192713589	0.0	0.0535100519784	23.2939894065	0.814925373134
7	left	ab	31	0.0022287616224	0.00202681452317	0.0	0.00979627019534	0.280018466307	0.269055745165	0.178232840349	0.455441789913	0.00795933801008	0.0075330653948	0.0	0.0215093792715	39.2499455201	0.833333333333
7	left	ab	32	0.0538926649132	0.0476301412946	0.00540483872847	0.208424093466	0.355888179767	0.340917709518	0.178232840349	0.671596511187	0.151431455095	0.139711549048	0.0303245951637	0.310341239114	95.1384549019	0.849847560976
7	left	ab	33	0.2845864874	0.262134678331	0.0918822583839	0.557711796293	0.364710454478	0.319302237391	0.11679939325	0.785362153963	0.780308005721	0.820960981897	0.786667257657	0.710133272248	82.5102115607	0.885531135531
7	left	ab	34	0.141863625801	0.136809980314	0.0310778226887	0.304022178476	0.384294441707	0.356844899507	0.178232840349	0.802806219188	0.369153467769	0.383387798181	0.174366422192	0.378699331432	114.080819914	0.857601026299
7	left	ab	35	0.0123464749749	0.0111474798775	0.0	0.0608044356952	0.303822799731	0.285172544558	0.178232840349	0.539628365567	0.0406370917055	0.0390902984533	0.0	0.112678353428	106.23083081	0.83
7	left	ab	36	0.0509137388584	0.0165523186059	0.000337802420529	0.286118650188	0.328898469154	0.311149032992	0.118316268487	0.661736822146	0.154800777849	0.053197396909	0.00285508007351	0.432375289711	145.907406172	0.763052208835
7	left	ab	37	0.065922749601	0.0645202623211	0.0189169355496	0.129378327063	0.345133047228	0.329161926432	0.178232840349	0.654531664771	0.191006772984	0.196013746245	0.106136083073	0.197665497372	128.15960472	0.864211737629
7	left	ab	38	0.187160977373	0.183257813137	0.0425631049867	0.337802420529	0.346430068847	0.317785362154	0.13196814562	0.703830109973	0.540256156158	0.57667166258	0.32252559727	0.479948805461	96.9303002409	0.840236686391
7	left	ab	39	0.148824565701	0.14660625051	0.0249973791192	0.292199093758	0.371406100616	0.363860447478	0.168373151308	0.751990898749	0.400705765075	0.402918897961	0.148464163823	0.388567327402	121.162875301	0.830895260386
