sample	leaf	side	label	DII_mean	DII_median	DII_min	DII_max	mDII_mean	mDII_median	mDII_min	mDII_max	mean_ratio	median_ratio	min_ratio	max_ratio	size	solidity
4	right	ab	1	0.0467914410843	0.046223365703	0.0188449106328	0.0772167250141	0.204098767184	0.19985412108	0.0696571845368	0.383783126672	0.229258812926	0.23128552693	0.270537931702	0.201198853331	66.0994068561	0.867965367965
4	right	ab	2	0.0125386295464	0.0121484486783	0.000414825076822	0.0292155375533	0.236919688058	0.222586919523	0.131534159981	0.499756868466	0.0529235440464	0.054578448295	0.00315374406833	0.0584595018033	42.6102161404	0.855960264901
4	right	ab	3	0.0625597915965	0.0615126328201	0.0313489236627	0.125929041178	0.166427583864	0.156333576465	0.047167517627	0.310235837588	0.375897974025	0.393470386919	0.664629500127	0.40591390781	96.511727467	0.845487364621
4	right	ab	4	0.0642016549639	0.059201464535	0.0286229303007	0.124921608849	0.188047456647	0.170252856796	0.0526379771456	0.480184779966	0.341411982425	0.347726702795	0.543769571948	0.260153203643	36.5936865887	0.8
4	right	ab	5	0.090451516356	0.0817798008591	0.0312896629374	0.229457528208	0.175767890429	0.163931436907	0.0188426938974	0.375273522976	0.514607737144	0.498865881993	1.66057269241	0.611440760297	140.935144294	0.870229007634
4	right	ab	6	0.0205555702353	0.0214820129068	0.00622237615233	0.0390528179465	0.246642206161	0.242766836859	0.132020423049	0.404327741308	0.0833416573555	0.088488251463	0.0471319210212	0.0965870356067	27.1980103024	0.814814814815
4	right	ab	7	0.0216671375802	0.0215709039947	0.00509642237238	0.0422528971106	0.238199467845	0.235716022368	0.131534159981	0.390590809628	0.0909621577924	0.0915122518105	0.0387459985538	0.108176885039	46.8959632184	0.685542168675
4	right	ab	8	0.0486988608302	0.045660388813	0.015704092194	0.0926245135818	0.267132844956	0.248845125213	0.0871626549964	0.674568441527	0.182302033425	0.183489183379	0.180169961489	0.137309289732	34.1211401976	0.838056680162
4	right	ab	9	0.0949132958014	0.0846835763969	0.0312896629374	0.237635508294	0.148861788737	0.123997082422	0.0190858254316	0.484682713348	0.637593412029	0.682948136707	1.63941890015	0.490290868127	82.2533766115	0.896675651393
4	right	ab	10	0.056200321742	0.0535716956353	0.0225783363242	0.107795259248	0.200762148997	0.178458546073	0.0537320690494	0.484074884513	0.27993484839	0.300191259057	0.420202250232	0.222683024253	33.7090491324	0.846790890269
4	right	ab	11	0.00461382990407	0.00426677221874	0.000177782175781	0.015704092194	0.225454493197	0.218088986142	0.131898857282	0.388159494286	0.0204645728663	0.0195643635849	0.00134786744514	0.0404578335069	68.3246986082	0.861746361746
4	right	ab	12	0.0811404527528	0.0763870748605	0.0312896629374	0.166344855806	0.195283185976	0.171286165816	0.0402382689035	0.418307804522	0.415501479799	0.445961730165	0.777609568952	0.397661372815	64.3686243824	0.832622601279
4	right	ab	13	0.0796085413539	0.0741351673006	0.0312896629374	0.170019020772	0.185497217045	0.176878191101	0.0333090201799	0.405543398979	0.429162995662	0.419131193275	0.939375063223	0.419237549421	76.731356338	0.673661360347
4	right	ab	14	0.0706332774529	0.0663423819288	0.0244746795325	0.142047958449	0.237935641364	0.213165572575	0.0640651592512	0.521274009239	0.296858751585	0.311224655687	0.382027919989	0.272501517304	81.5940309072	0.873786407767
4	right	ab	15	0.0490941227909	0.0486530554387	0.0197930822369	0.0904318667471	0.263614860442	0.244347191831	0.0691709214685	0.582056892779	0.186234276431	0.199114444795	0.28614744197	0.155366026705	79.2863209422	0.867448151488
4	right	ab	16	0.0521904322074	0.0502530950207	0.0258969369387	0.0833205797159	0.206893606861	0.175176270362	0.0427911500122	0.675905664965	0.252257346176	0.286871588924	0.605193759256	0.123272497975	22.9946814375	0.766483516484
4	right	ab	17	0.0657942028519	0.0646534512589	0.0172448710507	0.133336631836	0.264378322928	0.257597860442	0.0724531971797	0.54327741308	0.248863833173	0.250985979262	0.238013941717	0.24543010371	70.3027357211	0.795708955224
4	right	ab	18	0.0699190862414	0.068416507313	0.0257784154882	0.134581107066	0.263179755248	0.258570386579	0.0875273522976	0.533065888646	0.265670458488	0.264595293444	0.294518396953	0.252466177132	33.6266309193	0.834355828221
4	right	ab	19	0.0723750638253	0.0668164677309	0.0312896629374	0.160833608356	0.205841119844	0.184840748845	0.0344031120836	0.482372963773	0.351606442291	0.36148126508	0.909500944605	0.333421689098	130.385613025	0.766844401357
4	right	ab	20	0.00474183350601	0.004326032944	0.000533346527342	0.011852145052	0.251827488671	0.25395088743	0.131898857282	0.4412837345	0.0188296898445	0.0170349195775	0.00404360233541	0.0268583320105	40.0552515363	0.8073089701
4	right	ab	21	0.00406016485322	0.00367416496614	0.000592607252602	0.0131558810078	0.24699223829	0.249331388281	0.132871383418	0.385363481644	0.0164384309456	0.0147360707028	0.00446000664218	0.0341388886971	30.3299023978	0.773109243697
4	right	ab	22	0.00261134878133	0.00237042901041	0.00011852145052	0.00740759065753	0.204511869894	0.193775832726	0.131534159981	0.328713834184	0.0127686905542	0.0122328413047	0.000901069733809	0.0225350742414	26.4562463851	0.833766233766
4	right	ab	23	0.0565061871879	0.0531568705584	0.0145188776888	0.10826934505	0.272510145147	0.259542912716	0.0662533430586	0.60867979577	0.207354435034	0.204809563098	0.219141812601	0.177875700496	92.2259803891	0.836948391922
4	right	ab	24	0.0150912312758	0.0128595773815	0.00112595377994	0.0470530158566	0.345376346072	0.277899343545	0.131777291515	1.0	0.0436950342646	0.0462742272703	0.00854436881349	0.0470530158566	32.5551941498	0.786852589641
4	right	ab	25	0.0220727008902	0.0224598148736	0.00859280516274	0.0374527783645	0.221860545188	0.216508631169	0.131534159981	0.34597617311	0.0994890771201	0.103736348765	0.0653275557012	0.108252478857	92.8853260934	0.878409976617
4	right	ab	26	0.0807586350918	0.0762092926847	0.0283858873997	0.163026255191	0.241842937029	0.22732798444	0.0391441769998	0.543398978848	0.333930095639	0.335239380548	0.725162452638	0.300012074989	129.808685534	0.872576177285
