sample	leaf	side	label	DII_mean	DII_median	DII_min	DII_max	mDII_mean	mDII_median	mDII_min	mDII_max	mean_ratio	median_ratio	min_ratio	max_ratio	size	solidity
7	right	ad	1	0.00959265012536	0.00732873611715	0.0	0.0449283388052	0.161170901413	0.146750524109	0.0817610062893	0.342168313866	0.059518498943	0.0499401018269	0.0	0.131304790609	130.292753933	0.433806818182
7	right	ad	2	0.00600155891149	0.00356877584835	0.000127456280298	0.0314817012337	0.140687982747	0.133123689727	0.100628930818	0.246630727763	0.0426586464195	0.0268079697585	0.00126659678546	0.127647116478	38.6526637404	0.300198807157
7	right	ad	3	0.0639899655928	0.051683521661	0.018353704363	0.157727146869	0.153061659585	0.122866127583	0.0182689427972	0.402815214136	0.418066586799	0.42064906478	1.00463965357	0.3915620397	50.3423214279	0.729295426452
7	right	ad	4	0.0336759040452	0.0323738951958	0.00828465821939	0.0692724883421	0.187536725908	0.177448337826	0.0482180293501	0.380503144654	0.179569648996	0.182441242293	0.17181660742	0.182054969362	110.155825362	0.8891184573
7	right	ad	5	0.0301538007482	0.0259054889706	0.00579926075357	0.0787679812244	0.153519424587	0.154013177598	0.0312967954477	0.272686433064	0.196416843206	0.16820306791	0.185298867523	0.2888591865	156.99978208	0.776371308017
7	right	ad	6	0.0383647157933	0.0373128260573	0.00637281401492	0.0710568762663	0.175710055792	0.164869721473	0.0314465408805	0.364180892483	0.218341037002	0.226317032162	0.202655485674	0.195114235077	115.872665253	0.735246345425
7	right	ad	7	0.0532565931814	0.0390653499114	0.0112798808064	0.158555612691	0.179847200935	0.171009284217	0.0203653788559	0.461814914645	0.296121334692	0.228439935822	0.553875323714	0.343331511528	117.493858655	0.793659942363
7	right	ad	8	0.0461850339053	0.0424748054094	0.0182262480827	0.0992884423524	0.156324610312	0.150494159928	0.0271039233303	0.33692722372	0.295443141122	0.282235572661	0.672457926497	0.294688096902	146.07805811	0.840039254171
7	right	ad	9	0.0496508118642	0.0463940860286	0.0182262480827	0.109102575935	0.201513580759	0.183812518718	0.0271039233303	0.471248876909	0.246389407985	0.252398946231	0.672457926497	0.231517954273	99.8313831706	0.848440899202
7	right	ad	10	0.0198717757436	0.0195645390258	0.00458842609074	0.0423792131992	0.170962521608	0.159853249476	0.0687331536388	0.309673554957	0.116234690251	0.122390624463	0.0667571011633	0.13685125036	48.6358020575	0.859728506787
7	right	ad	11	0.0267139765264	0.0254912560597	0.0075199205376	0.0522570749223	0.183186945288	0.175726265349	0.0621443545972	0.336178496556	0.145829040843	0.145062299077	0.121007299639	0.155444430437	86.0085762701	0.904035874439
7	right	ad	12	0.0233352174491	0.0226872178931	0.00516197935208	0.0480510176725	0.200006426523	0.187780772686	0.0551063192573	0.373465109314	0.116672338258	0.120817576627	0.0936730926989	0.128662668812	102.988444006	0.814439946019
7	right	ad	13	0.054554375144	0.041423291097	0.0182262480827	0.181115374304	0.0866388730853	0.0742737346511	0.0185684336628	0.228212039533	0.629675493243	0.557711165213	0.981571650774	0.793627604726	24.6592049028	0.873111782477
7	right	ad	14	0.0143153038246	0.0123632591889	0.00159320350373	0.0436537760022	0.175487041219	0.17115902965	0.0744234800839	0.30338424678	0.081574706173	0.0722325851826	0.0214072696135	0.143889395924	93.6025874685	0.797238372093
7	right	ad	15	0.0355154607664	0.0334572735783	0.00924058032163	0.0724588953496	0.165727082142	0.155061395627	0.0383348307877	0.364180892483	0.214300887383	0.215767912077	0.241049200734	0.198964022675	93.8585653741	0.771388499299
7	right	ad	16	0.00742773765175	0.00726500797701	0.00121083466283	0.014083918973	0.151140591858	0.15004492363	0.100479185385	0.227463312369	0.0491445584567	0.0484188854994	0.0120506019052	0.0619173211991	41.4684207017	0.86017699115
7	right	ad	17	0.0321450216229	0.0265746344422	0.00669145471566	0.0757727586374	0.161878387914	0.146825396825	0.033692722372	0.398322851153	0.198575128139	0.180994807552	0.198602375961	0.190229504579	250.175739706	0.530774800869
7	right	ad	18	0.00968097869065	0.00697823134633	0.000318640700746	0.0433351353014	0.204303691281	0.171458520515	0.100628930818	0.626984126984	0.0473852363113	0.0406992392409	0.00316649196366	0.0691167980757	67.7488190064	0.783037475345
7	right	ad	19	0.00571362277351	0.00426978538999	0.000254912560597	0.0237705962756	0.168350993394	0.154088050314	0.0995807127883	0.401317759808	0.033938752949	0.0277100357963	0.00255985876641	0.0592313589286	103.244421912	0.807743658211
7	right	ad	20	0.0222578558879	0.0221773927719	0.0075199205376	0.0397026313129	0.142807095312	0.142407906559	0.0569032644504	0.224917640012	0.155859593945	0.15573147101	0.132152708816	0.1765207536	64.3357802655	0.781347150259
7	right	ad	21	0.00819001812282	0.00771110495805	0.000955922102238	0.027339372124	0.179585193219	0.158879904163	0.0992812219227	0.38784067086	0.0456051970432	0.0485341742788	0.0096284280524	0.0704912459629	85.667272396	0.783151326053
7	right	ad	22	0.0215278989603	0.02134892695	0.00796601751865	0.0372809619873	0.199751919712	0.185534591195	0.033692722372	0.37541179994	0.107773176805	0.115067097798	0.236431399953	0.0993068464902	63.2265426747	0.836343115124
7	right	ad	23	0.00575046889627	0.00554434819298	0.000382368840895	0.0137015501321	0.163879412811	0.161051212938	0.100479185385	0.255914944594	0.0350896357123	0.0344259946376	0.00380545323323	0.0535394685676	43.6868958832	0.85618729097
